dataset_id	dataset_doi	dataset_type	dataset_name	citation_curie	citation_relationship	citation_type	citation_comment	citation_citation	citation_source
36	10.26275/0y4e-eskx	Dataset	Distribution of nitregic cholinergic and all  myenteric plexus neurons	doi:10.17504/protocols.io.xz6fp9e	IsDocumentedBy	Protocol		"Heredia, D., & Smith, T. (2019). Dissection and fixation of murine colonic tissue for myenteric plexus visualization v1. https://doi.org/10.17504/protocols.io.xz6fp9e
"	SPARC
36	10.26275/0y4e-eskx	Dataset	Distribution of nitregic cholinergic and all  myenteric plexus neurons	doi:10.1152/ajpgi.00252.2018	Describes	Originating Publication		"Gould, T. W., Swope, W. A., Heredia, D. J., Corrigan, R. D., & Smith, T. K. (2019). Activity within specific enteric neurochemical subtypes is correlated with distinct patterns of gastrointestinal motility in the murine colon. American Journal of Physiology-Gastrointestinal and Liver Physiology, 317(2), G210âG221. https://doi.org/10.1152/ajpgi.00252.2018
"	SPARC
88	10.26275/jg3k-z5qm	Dataset	Immediate early gene (IEG) mapping of spinal cord neurons activated by cystometry induced micturition in rat	doi:10.17504/protocols.io.bakxicxn	IsDocumentedBy	Protocol		"R Keast, J., B Osborne, P., & Wiedmann, N. (2019). Immediate Early Gene (IEG) mapping of spinal cord neurons activated by cystometry-induced micturition in rats [keast-002] v1. https://doi.org/10.17504/protocols.io.bakxicxn
"	SPARC
88	10.26275/jg3k-z5qm	Dataset	Immediate early gene (IEG) mapping of spinal cord neurons activated by cystometry induced micturition in rat	doi:10.1002/cne.24949	Describes	Originating Publication		"Wiedmann, N. M., Wong, A. W., Keast, J. R., & Osborne, P. B. (2020). Sex differences in câFos and EGRâ1/Zif268 activity maps of rat sacral spinal cord following cystometryâinduced micturition. Journal of Comparative Neurology, 529(2), 311â326. Portico. https://doi.org/10.1002/cne.24949
"	SPARC
89	10.26275/8pc2-rhu2	Dataset	Quantified morphology of the pig vagus nerve with anti-fibronectin	doi:10.17504/protocols.io.bfwtjpen	IsDocumentedBy	Protocol		"SPARC_Duke_PelotGrill_OT2-OD025340_PigVagusNerve_FibronectinIF_Morphology v1. (2020). https://doi.org/10.17504/protocols.io.bfwtjpen
"	SPARC
60	10.26275/ilb9-0e2a	Dataset	Quantified morphology of the rat vagus nerve	doi:10.17504/protocols.io.y6hfzb6	IsDocumentedBy	Protocol		"SPARC_Duke_PelotGrill_OT2-OD025340_RatVagusNerve_Morphology v1. (2019). https://doi.org/10.17504/protocols.io.y6hfzb6
"	SPARC
60	10.26275/ilb9-0e2a	Dataset	Quantified morphology of the rat vagus nerve	doi:10.1088/1741-2552/ac36e2	Cites	Work		"Eiber, C. D., Payne, S. C., Biscola, N. P., Havton, L. A., Keast, J. R., Osborne, P. B., & Fallon, J. B. (2021). Computational modelling of nerve stimulation and recording with peripheral visceral neural interfaces. Journal of Neural Engineering, 18(6), 066020. https://doi.org/10.1088/1741-2552/ac36e2
"	OCI
60	10.26275/ilb9-0e2a	Dataset	Quantified morphology of the rat vagus nerve	doi:10.12688/f1000research.73492.1	Cites	Work		"Quey, R., Schiefer, M. A., Kiran, A., & Patel, B. (2021). KnowMore: an automated knowledge discovery tool for the FAIR SPARC datasets. F1000Research, 10, 1132. https://doi.org/10.12688/f1000research.73492.1
"	OCI
60	10.26275/ilb9-0e2a	Dataset	Quantified morphology of the rat vagus nerve	doi:10.1101/2021.08.08.455581	Cites	Work		"Quey, R., Schiefer, M. A., Kiran, A., & Patel, B. (2021). KnowMore: an automated knowledge discovery tool for the FAIR SPARC datasets. https://doi.org/10.1101/2021.08.08.455581
"	Crossref
60	10.26275/ilb9-0e2a	Dataset	Quantified morphology of the rat vagus nerve	doi:10.3389/fnins.2020.601479	Describes	Originating Publication		"Pelot, N. A., Goldhagen, G. B., Cariello, J. E., Musselman, E. D., Clissold, K. A., Ezzell, J. A., & Grill, W. M. (2020). Quantified Morphology of the Cervical and Subdiaphragmatic Vagus Nerves of Human, Pig, and Rat. Frontiers in Neuroscience, 14. https://doi.org/10.3389/fnins.2020.601479
"	K-Core
61	10.26275/sydt-lkiw	Dataset	Human vagus nerve stained with Masson's trichrome	doi:10.17504/protocols.io.bh4cj8sw	IsDocumentedBy	Protocol		"SPARC_Duke_PelotGrill_OT2-OD025340_HumanVagusNerve_Collection_Histology_Microscopy v2. (2020). https://doi.org/10.17504/protocols.io.bh4cj8sw
"	SPARC
61	10.26275/sydt-lkiw	Dataset	Human vagus nerve stained with Masson's trichrome	doi:10.3389/fnins.2020.601479	Describes	Originating Publication		"Pelot, N. A., Goldhagen, G. B., Cariello, J. E., Musselman, E. D., Clissold, K. A., Ezzell, J. A., & Grill, W. M. (2020). Quantified Morphology of the Cervical and Subdiaphragmatic Vagus Nerves of Human, Pig, and Rat. Frontiers in Neuroscience, 14. https://doi.org/10.3389/fnins.2020.601479
"	K-Core
64	10.26275/maq2-eii4	Dataset	Quantified morphology of the pig vagus nerve 	doi:10.17504/protocols.io.6bvhan6	IsDocumentedBy	Protocol		"SPARC_Duke_PelotGrill_OT2-OD025340_PigVagusNerve_Morphology v1. (2019). https://doi.org/10.17504/protocols.io.6bvhan6
"	SPARC
64	10.26275/maq2-eii4	Dataset	Quantified morphology of the pig vagus nerve 	doi:10.1088/1741-2552/acda64	Cites	Work		"Musselman, E. D., Pelot, N. A., & Grill, W. M. (2023). Validated computational models predict vagus nerve stimulation thresholds in preclinical animals and humans. Journal of Neural Engineering, 20(3), 036032. https://doi.org/10.1088/1741-2552/acda64
"	OCI
64	10.26275/maq2-eii4	Dataset	Quantified morphology of the pig vagus nerve 	doi:10.12688/f1000research.73492.1	Cites	Work		"Quey, R., Schiefer, M. A., Kiran, A., & Patel, B. (2021). KnowMore: an automated knowledge discovery tool for the FAIR SPARC datasets. F1000Research, 10, 1132. https://doi.org/10.12688/f1000research.73492.1
"	OCI
64	10.26275/maq2-eii4	Dataset	Quantified morphology of the pig vagus nerve 	doi:10.1038/s41467-024-51709-8	Cites	Work		"Hussain, M. A., Grill, W. M., & Pelot, N. A. (2024). Highly efficient modeling and optimization of neural fiber responses to electrical stimulation. Nature Communications, 15(1). https://doi.org/10.1038/s41467-024-51709-8
"	Datacite
64	10.26275/maq2-eii4	Dataset	Quantified morphology of the pig vagus nerve 	doi:10.1101/2021.08.08.455581	Cites	Work		"Quey, R., Schiefer, M. A., Kiran, A., & Patel, B. (2021). KnowMore: an automated knowledge discovery tool for the FAIR SPARC datasets. https://doi.org/10.1101/2021.08.08.455581
"	Crossref
64	10.26275/maq2-eii4	Dataset	Quantified morphology of the pig vagus nerve 	doi:doi.org/10.3389/fnins.2020.601479	Describes	Originating Publication		CITATION[doi.org/10.3389/fnins.2020.601479]	K-Core
90	10.26275/ilkm-9f8r	Dataset	Morphometric analysis of the abdominal vagus nerve in rats	doi:10.17504/protocols.io.xpxfmpn	IsDocumentedBy	Protocol		"Biscola, N., & Havton, L. (2019). Nerve tissue processing for transmission electron microscopy (TEM) v1. https://doi.org/10.17504/protocols.io.xpxfmpn
"	SPARC
23	10.26275/tv7g-o8ff	Dataset	A multi-scale model of cardiac electrophysiology	doi:10.17504/protocols.io.5nkg5cw	IsDocumentedBy	Protocol		"clancy, C., not provided, P.-C., & Aghasafari, P. (2019). A multi-scale model of cardiac electrophysiology v1. https://doi.org/10.17504/protocols.io.5nkg5cw
"	SPARC
23	10.26275/tv7g-o8ff	Dataset	A multi-scale model of cardiac electrophysiology	doi:10.1371/journal.pcbi.1006856	Describes	Originating Publication		"Yang, P.-C., Purawat, S., Ieong, P. U., Jeng, M.-T., DeMarco, K. R., Vorobyov, I., McCulloch, A. D., Altintas, I., Amaro, R. E., & Clancy, C. E. (2019). A demonstration of modularity, reuse, reproducibility, portability and scalability for modeling and simulation of cardiac electrophysiology using Kepler Workflows. PLOS Computational Biology, 15(3), e1006856. https://doi.org/10.1371/journal.pcbi.1006856
"	SPARC
27	10.26275/bjp1-ppqo	Dataset	Functional neuronal nodose recording from pig - Cardiac field chemical and mechanical stimulation	doi:10.17504/protocols.io.2ncgdaw	IsDocumentedBy	Protocol		"Vaseghi, M., & Ardell, J. (2019). Pig Nodose Ganglion protocol v1. https://doi.org/10.17504/protocols.io.2ncgdaw
"	SPARC
97	10.26275/dap3-ckep	Dataset	Pig vagus nerve TH (tyrosine hydroxylase) and ChAT (choline acetyltransferase) positive fibers	doi:10.17504/protocols.io.6hehb3e	IsDocumentedBy	Protocol		"Ashley Ezzell, J., A. Pelot, N., A. Clissold, K., & M. Grill, W. (2019). SPARC_Duke_Grill_OT2-OD025340_VagusNerve_IHC_TH v1. https://doi.org/10.17504/protocols.io.6hehb3e
"	SPARC
97	10.26275/dap3-ckep	Dataset	Pig vagus nerve TH (tyrosine hydroxylase) and ChAT (choline acetyltransferase) positive fibers	doi:10.17504/protocols.io.6hfhb3n	IsDocumentedBy	Protocol		"Ashley Ezzell, J., A. Pelot, N., A. Clissold, K., & M. Grill, W. (2019). SPARC_Duke_Grill_OT2-OD025340_VagusNerve_IHC_ChAT v1. https://doi.org/10.17504/protocols.io.6hfhb3n
"	SPARC
97	10.26275/dap3-ckep	Dataset	Pig vagus nerve TH (tyrosine hydroxylase) and ChAT (choline acetyltransferase) positive fibers	doi:10.1088/1741-2552/ab7ad4	Describes	Originating Publication		"Settell, M. L., Pelot, N. A., Knudsen, B. E., Dingle, A. M., McConico, A. L., Nicolai, E. N., Trevathan, J. K., Ezzell, J. A., Ross, E. K., Gustafson, K. J., Shoffstall, A. J., Williams, J. C., Zeng, W., Poore, S. O., Populin, L. C., Suminski, A. J., Grill, W. M., & Ludwig, K. A. (2020). Functional vagotopy in the cervical vagus nerve of the domestic pig: implications for the study of vagus nerve stimulation. Journal of Neural Engineering, 17(2), 026022. https://doi.org/10.1088/1741-2552/ab7ad4
"	SPARC
97	10.26275/dap3-ckep	Dataset	Pig vagus nerve TH (tyrosine hydroxylase) and ChAT (choline acetyltransferase) positive fibers	doi:10.1088/1741-2552/ac01ff	Cites	Work		"Settell, M. L., Pelot, N. A., Knudsen, B. E., Dingle, A. M., McConico, A. L., Nicolai, E. N., Trevathan, J. K., Ezzell, J. A., Ross, E. K., Gustafson, K. J., Shoffstall, A. J., Williams, J. C., Zeng, W., Poore, S. O., Populin, L. C., Suminski, A. J., Grill, W. M., & Ludwig, K. A. (2021). Corrigendum: Functional vagotopy in the cervical vagus nerve of the domestic pig: implications for the study of vagus nerve stimulation (2020 J. Neural Eng. 
               17 026022). Journal of Neural Engineering, 18(4), 049501. https://doi.org/10.1088/1741-2552/ac01ff
"	OCI
43	10.26275/fcrd-lbid	Dataset	Human islet microvasculature analysis	doi:10.17504/protocols.io.wxbffin	IsDocumentedBy	Protocol		"PeÃ±aloza, J., & Campbell-Thompson, M. (2019). Human Islet Microvasculature Image Processing v1. https://doi.org/10.17504/protocols.io.wxbffin
"	SPARC
43	10.26275/fcrd-lbid	Dataset	Human islet microvasculature analysis	doi:10.17504/protocols.io.y3tfynn	IsDocumentedBy	Protocol		"Campbell-Thompson, M., Butterworth Hosaka, E., & N Carty, K. (2019). Human Islet Microvasculature Immunofluorescence in Optically Cleared Samples v1. https://doi.org/10.17504/protocols.io.y3tfynn
"	SPARC
43	10.26275/fcrd-lbid	Dataset	Human islet microvasculature analysis	doi:10.17504/protocols.io.9gbh3sn	IsDocumentedBy	Protocol		"Human Pancreas PACT Optical Clearing and High Resolution 3D Microscopy v1. (2019). https://doi.org/10.17504/protocols.io.9gbh3sn
"	SPARC
43	10.26275/fcrd-lbid	Dataset	Human islet microvasculature analysis	doi:10.17504/protocols.io.bjfzkjp6	IsDocumentedBy	Protocol		"Vesselucida 360 Protocol for Segmenting and Analyzing Human Islet Microvasculature v1. (2020). https://doi.org/10.17504/protocols.io.bjfzkjp6
"	SPARC
106	10.26275/gdot-t59p	Dataset	Immunohistochemical classification of sensory and autonomic neurons projecting to the lower urinary tract in rats	doi:10.17504/protocols.io.w3gfgjw	IsDocumentedBy	Protocol		"R Keast, J., & B Osborne, P. (2019). Immunohistochemical classification of sensory and autonomic neurons projecting to the lower urinary tract in rats [keast-001] v1. https://doi.org/10.17504/protocols.io.w3gfgjw
"	SPARC
107	10.26275/jl5t-xfgu	Dataset	Micro Computed Tomography (Micro-CT) imaging of iodine-stained rat stomachs from full to empty	doi:10.17504/protocols.io.95ih84e	IsDocumentedBy	Protocol		"Micro-CT imaging of iodine-stained rat stomach v1. (2019). https://doi.org/10.17504/protocols.io.95ih84e
"	SPARC
108	10.26275/w027-cisv	Dataset	Imaging in vivo acetylcholine release in the peripheral nervous system with a fluorescent nanosensor in mice	doi:10.17504/protocols.io.bmmxk47n	IsDocumentedBy	Protocol		"In vivo imaging of acetylcholine release in the peripheral nervous system with a fluorescent nanosensor v1. (2020). https://doi.org/10.17504/protocols.io.bmmxk47n
"	SPARC
108	10.26275/w027-cisv	Dataset	Imaging in vivo acetylcholine release in the peripheral nervous system with a fluorescent nanosensor in mice	doi:10.1101/2020.07.06.189696	Describes	Originating Publication		"Xia, J., Yang, H., Mu, M., Micovic, N., Poskanzer, K. E., Monaghan, J. R., & Clark, H. A. (2020). A DNA-based optical nanosensor forin vivoimaging of acetylcholine in the peripheral nervous system. https://doi.org/10.1101/2020.07.06.189696
"	SPARC
109	10.26275/6xtv-zfpc	Dataset	Spatial mapping and contextualization of axon subtypes innervating the long bones of C3H and B6 mice	doi:10.17504/protocols.io.bqu2mwye	IsDocumentedBy	Protocol		"Spatial mapping and contextualization of axon subtypes innervating the long bones of C3H and B6 mice v1. (2020). https://doi.org/10.17504/protocols.io.bqu2mwye
"	SPARC
109	10.26275/6xtv-zfpc	Dataset	Spatial mapping and contextualization of axon subtypes innervating the long bones of C3H and B6 mice	doi:10.1101/2020.09.18.303958	Describes	Originating Publication		"Lorenz, M. R., Brazill, J. M., Beeve, A., Shen, I., & Scheller, E. L. (2020). A neuroskeletal atlas of the mouse limb. https://doi.org/10.1101/2020.09.18.303958
"	SPARC
109	10.26275/6xtv-zfpc	Dataset	Spatial mapping and contextualization of axon subtypes innervating the long bones of C3H and B6 mice	doi:10.1371/journal.pone.0279825	Describes	Originating Publication		"Gupta, Y., Costa, C., Pinho, E., A. BastiÃ£o Silva, L., & Heintzmann, R. (2022). IMAGE-IN: Interactive web-based multidimensional 3D visualizer for multi-modal microscopy images. PLOS ONE, 17(12), e0279825. https://doi.org/10.1371/journal.pone.0279825
"	K-Core
121	10.26275/zxe9-o3ss	Dataset	MicroCT imaging of rat stomach vasculature with Microfil MV-122	doi:10.17504/protocols.io.bafnibme	IsDocumentedBy	Protocol		"Micro-CT imaging of rat stomach vasculature v1. (2019). https://doi.org/10.17504/protocols.io.bafnibme
"	SPARC
123	10.26275/rtzw-x9u4	Dataset	Functional mapping of the stomach neural circuitry - gastric electrical stimulation (GES) evoked duodenal motility in rats	doi:10.17504/protocols.io.2irgcd6	IsDocumentedBy	Protocol		"Powley, T., Tan, Z., & Ward, M. (2019). Measurement of duodenal motility using implanted strain gauges v1. https://doi.org/10.17504/protocols.io.2irgcd6
"	SPARC
123	10.26275/rtzw-x9u4	Dataset	Functional mapping of the stomach neural circuitry - gastric electrical stimulation (GES) evoked duodenal motility in rats	doi:10.1152/ajpregu.00111.2020	Cites	Work		"Tan, Z. T., Ward, M., Phillips, R. J., Zhang, X., Jaffey, D. M., Chesney, L., Rajwa, B., Baronowsky, E. A., McAdams, J., & Powley, T. L. (2021). Stomach region stimulated determines effects on duodenal motility in rats. American Journal of Physiology-Regulatory, Integrative and Comparative Physiology, 320(3), R331âR341. https://doi.org/10.1152/ajpregu.00111.2020
"	OCI
127	10.26275/tuof-9odl	Dataset	Chemogenetic iBAT (interscapular brown adipose tissue)-specific sympathetic stimulation and e-mitter implant in mice	doi:10.17504/protocols.io.bh3tj8nn	IsDocumentedBy	Protocol		"Bilateral Adeno-associated virus (AAV) injection into interscapular brown adipose tissue v1. (2020). https://doi.org/10.17504/protocols.io.bh3tj8nn
"	SPARC
127	10.26275/tuof-9odl	Dataset	Chemogenetic iBAT (interscapular brown adipose tissue)-specific sympathetic stimulation and e-mitter implant in mice	doi:10.17504/protocols.io.bpzbmp2n	IsDocumentedBy	Protocol		"Lee, N. (2020). Abdominal Emitter Implantation v1. https://doi.org/10.17504/protocols.io.bpzbmp2n
"	SPARC
128	10.26275/pidf-15l3	Dataset	Chemogenetic whole-body and iBAT (interscapular brown adipose tissue) -specific sympathetic stimulation in anesthetized mice	doi:10.17504/protocols.io.bh3tj8nn	IsDocumentedBy	Protocol		"Bilateral Adeno-associated virus (AAV) injection into interscapular brown adipose tissue v1. (2020). https://doi.org/10.17504/protocols.io.bh3tj8nn
"	SPARC
131	10.26275/m9ti-0pbj	Dataset	Gene expression profile of interscapular brown adipose tissue (iBAT) and inguinal white adipose tissue (iWAT) whole ganglia sequencing in mice	doi:10.17504/protocols.io.98uh9ww	IsDocumentedBy	Protocol		"Zhang, R., Huesing, C., & Muenzberg, H. (2019). RNA extraction_Trizol method_Protocol v1. https://doi.org/10.17504/protocols.io.98uh9ww
"	SPARC
131	10.26275/m9ti-0pbj	Dataset	Gene expression profile of interscapular brown adipose tissue (iBAT) and inguinal white adipose tissue (iWAT) whole ganglia sequencing in mice	doi:10.17504/protocols.io.baagiabw	IsDocumentedBy	Protocol		"Zhang, R., & Muenzberg, H. (2019). Sympathetic chain ganglia dissection_Protocol v1. https://doi.org/10.17504/protocols.io.baagiabw
"	SPARC
133	10.26275/pkgd-bopz	Dataset	Retrograde tracing of interscapular brown adipose tissue (iBAT) specific sympathetic neurons in mice - virus and reporter testing	doi:10.17504/protocols.io.bh3tj8nn	IsDocumentedBy	Protocol		"Bilateral Adeno-associated virus (AAV) injection into interscapular brown adipose tissue v1. (2020). https://doi.org/10.17504/protocols.io.bh3tj8nn
"	SPARC
137	10.26275/56h4-ypua	Dataset	Acquisition of single neurons and regional neuronal samples from the porcine right atrial ganglionic plexus (RAGP) through laser capture microdissection	doi:10.21203/rs.3.pex-928/v1	Cites	Work		"Robbins, S., Vadigepalli, R., & Schwaber, J. (2021). Cryosectioning, block face imaging and Nissl staining fluorescently labeled pig heart. https://doi.org/10.21203/rs.3.pex-928/v1
"	Datacite
137	10.26275/56h4-ypua	Dataset	Acquisition of single neurons and regional neuronal samples from the porcine right atrial ganglionic plexus (RAGP) through laser capture microdissection	doi:10.21203/rs.3.pex-927/v1	Cites	Work		"Robbins, S., Achanta, S., & Vadigepalli, R. (2021). Laser Capture Microdissection (LCM) and 3D Sample Tracking Protocol. https://doi.org/10.21203/rs.3.pex-927/v1
"	Datacite
137	10.26275/56h4-ypua	Dataset	Acquisition of single neurons and regional neuronal samples from the porcine right atrial ganglionic plexus (RAGP) through laser capture microdissection	doi:10.1101/2020.07.29.227090	Cites	Work		"Moss, A., Robbins, S., Achanta, S., Kuttippurathu, L., Turick, S., Nieves, S., Hanna, P., Smith, E. H., Hoover, D. B., Chen, J., Cheng, Z. (Jack), Ardell, J. L., Shivkumar, K., Schwaber, J. S., & Vadigepalli, R. (2020). A spatially-tracked single cell transcriptomics map of neuronal networks in the intrinsic cardiac nervous system. https://doi.org/10.1101/2020.07.29.227090
"	K-Core
140	10.26275/ckgb-5ewo	Dataset	TRAP-SEQ (Translating Ribosome Affinity Purification followed by RNA sequencing) of interscapular brown adipose tissue (iBAT)- related ganglia from 7-day cold and warm treated mice	doi:10.17504/protocols.io.babtiann	IsDocumentedBy	Protocol		"Zhang, R. (2019). TRAP-SEQ_Sympathetic chain ganglia_Protocol v1. https://doi.org/10.17504/protocols.io.babtiann
"	SPARC
143	10.26275/advv-1awo	Dataset	Optogenetic stimulation prevents lipopolysaccharide induced TNFa production	doi:10.17504/protocols.io.wwbffan	IsDocumentedBy	Protocol		"Optogenetic Stimulation of superior mesenteric ganglion in a model of septic shock v1. (2019). https://doi.org/10.17504/protocols.io.wwbffan
"	SPARC
145	10.26275/imbg-0okx	Dataset	Effects of cystotomy on the feline urinary bladder	doi:10.17504/protocols.io.bfy9jpz6	IsDocumentedBy	Protocol		"SPARC Cat surgery Day 0 v1. (2020). https://doi.org/10.17504/protocols.io.bfy9jpz6
"	SPARC
145	10.26275/imbg-0okx	Dataset	Effects of cystotomy on the feline urinary bladder	doi:10.17504/protocols.io.bfzajp2e	IsDocumentedBy	Protocol		"SPARC Cat - Sham Control Chronic Cat 1, Day 0 v1. (2020). https://doi.org/10.17504/protocols.io.bfzajp2e
"	SPARC
145	10.26275/imbg-0okx	Dataset	Effects of cystotomy on the feline urinary bladder	doi:10.17504/protocols.io.bfzcjp2w	IsDocumentedBy	Protocol		"SPARC Cat - Sham Control Chronic Cat 2, Day 0 v1. (2020). https://doi.org/10.17504/protocols.io.bfzcjp2w
"	SPARC
145	10.26275/imbg-0okx	Dataset	Effects of cystotomy on the feline urinary bladder	doi:10.17504/protocols.io.bfzdjp26	IsDocumentedBy	Protocol		"SPARC Cat - Sham Control Chronic Cat 3, Day 0 v1. (2020). https://doi.org/10.17504/protocols.io.bfzdjp26
"	SPARC
145	10.26275/imbg-0okx	Dataset	Effects of cystotomy on the feline urinary bladder	doi:10.17504/protocols.io.bfzhjp36	IsDocumentedBy	Protocol		"SPARC Cat - Sham Control Chronic Cat 1, Day 14 v1. (2020). https://doi.org/10.17504/protocols.io.bfzhjp36
"	SPARC
145	10.26275/imbg-0okx	Dataset	Effects of cystotomy on the feline urinary bladder	doi:10.17504/protocols.io.bfzijp4e	IsDocumentedBy	Protocol		"SPARC Cat - Sham Control Chronic Implant Cat 4, Day 0 v1. (2020). https://doi.org/10.17504/protocols.io.bfzijp4e
"	SPARC
145	10.26275/imbg-0okx	Dataset	Effects of cystotomy on the feline urinary bladder	doi:10.17504/protocols.io.bfznjp5e	IsDocumentedBy	Protocol		"SPARC Cat - Sham Control Chronic Cat 2, Day 14 v1. (2020). https://doi.org/10.17504/protocols.io.bfznjp5e
"	SPARC
145	10.26275/imbg-0okx	Dataset	Effects of cystotomy on the feline urinary bladder	doi:10.17504/protocols.io.bfzpjp5n	IsDocumentedBy	Protocol		"SPARC Cat - Sham Control Chronic Cat 3, Day 14 v1. (2020). https://doi.org/10.17504/protocols.io.bfzpjp5n
"	SPARC
145	10.26275/imbg-0okx	Dataset	Effects of cystotomy on the feline urinary bladder	doi:10.17504/protocols.io.bfzrjp56	IsDocumentedBy	Protocol		"SPARC Cat - Sham Control Chronic Implant Cat 4, Day 14 v1. (2020). https://doi.org/10.17504/protocols.io.bfzrjp56
"	SPARC
145	10.26275/imbg-0okx	Dataset	Effects of cystotomy on the feline urinary bladder	doi:10.17504/protocols.io.bfztjp6n	IsDocumentedBy	Protocol		"SPARC Cat - Sham Control Chronic Cat 1 Day 30 v1. (2020). https://doi.org/10.17504/protocols.io.bfztjp6n
"	SPARC
145	10.26275/imbg-0okx	Dataset	Effects of cystotomy on the feline urinary bladder	doi:10.17504/protocols.io.bfzwjp7e	IsDocumentedBy	Protocol		"SPARC Cat - Sham Control Chronic Cat 2 Day 30 v1. (2020). https://doi.org/10.17504/protocols.io.bfzwjp7e
"	SPARC
145	10.26275/imbg-0okx	Dataset	Effects of cystotomy on the feline urinary bladder	doi:10.17504/protocols.io.bfz3jp8n	IsDocumentedBy	Protocol		"SPARC Cat - Sham Control Chronic Implant Cat 4, Day 30 v1. (2020). https://doi.org/10.17504/protocols.io.bfz3jp8n
"	SPARC
124	10.26275/0khe-2os4	Dataset	In vitro imaging of mechanosensitive submucous neurons in the porcine colon	doi:10.17504/protocols.io.bpcamise	IsDocumentedBy	Protocol		"Mazzuoli-Weber, G., Elfers, K., & Katharina Filzmayer, A. (2020). Mechanosensitive enteric neurons: incidence and abundance in the porcine submucosal plexus with ultrafast neuroimaging and immunhistochemical techniques v1. https://doi.org/10.17504/protocols.io.bpcamise
"	SPARC
124	10.26275/0khe-2os4	Dataset	In vitro imaging of mechanosensitive submucous neurons in the porcine colon	doi:10.17504/protocols.io.btv3nn8n	IsDocumentedBy	Protocol		"Mechanosensitive enteric neurons: incidence and abundance in the porcine submucosal plexus with ultrafast neuroimaging and immunhistochemical techniques v1. (2021). https://doi.org/10.17504/protocols.io.btv3nn8n
"	SPARC
124	10.26275/0khe-2os4	Dataset	In vitro imaging of mechanosensitive submucous neurons in the porcine colon	doi:10.1038/s41598-020-70216-6	Describes	Originating Publication		"Filzmayer, A. K., Elfers, K., Michel, K., Buhner, S., Zeller, F., Demir, I. E., Theisen, J., Schemann, M., & Mazzuoli-Weber, G. (2020). Compression and stretch sensitive submucosal neurons of the porcine and human colon. Scientific Reports, 10(1). https://doi.org/10.1038/s41598-020-70216-6
"	SPARC
151	10.26275/jkux-orfg	Dataset	Phrenic nerve stimulation spinal intact rats	doi:10.17504/protocols.io.bgfzjtp6	IsDocumentedBy	Protocol		"Streeter, K., sunshine, M., & Fuller, D. (2020). SPARC bilateral phrenic neurophysiology preparation with phrenic afferent stimulation - spinal intact study v1. https://doi.org/10.17504/protocols.io.bgfzjtp6
"	SPARC
152	10.26275/1h3s-thms	Dataset	Sympathetic iBAT (interscapular brown adipose tissue) activation high fat (HF) low fat (LF) diet study	doi:10.17504/protocols.io.bh3tj8nn	IsDocumentedBy	Protocol		"Bilateral Adeno-associated virus (AAV) injection into interscapular brown adipose tissue v1. (2020). https://doi.org/10.17504/protocols.io.bh3tj8nn
"	SPARC
153	10.26275/j4he-9spq	Dataset	Optogenetic iBAT (interscapular brown adipose tissue) stimulation in anesthetized mice	doi:10.17504/protocols.io.bh3tj8nn	IsDocumentedBy	Protocol		"Bilateral Adeno-associated virus (AAV) injection into interscapular brown adipose tissue v1. (2020). https://doi.org/10.17504/protocols.io.bh3tj8nn
"	SPARC
158	10.26275/i7dl-58h1	Dataset	Antibodies tested in the colon – Mouse	doi:10.17504/protocols.io.bqavmse6	IsDocumentedBy	Protocol		"Multicolor adeno-associate virus labeling and 3D digital tracing of enteric plexus in mouse proximal colon v1. (2020). https://doi.org/10.17504/protocols.io.bqavmse6
"	SPARC
158	10.26275/i7dl-58h1	Dataset	Antibodies tested in the colon – Mouse	doi:10.1242/jcs.261950	Cites	Work		"Sorensen, L., Humenick, A., Poon, S. S. B., Han, M. N., Mahdavian, N. S., Rowe, M. C., Hamnett, R., GÃ³mez-de-Mariscal, E., Neckel, P. H., Saito, A., Mutunduwe, K., Glennan, C., Haase, R., McQuade, R. M., Foong, J. P. P., Brookes, S. J. H., Kaltschmidt, J. A., MuÃ±oz-Barrutia, A., King, S. K., â¦ Rajasekhar, P. (2024). Gut Analysis Toolbox â automating quantitative analysis of enteric neurons. Journal of Cell Science, 137(20). https://doi.org/10.1242/jcs.261950
"	Datacite
159	10.26275/ek1m-xqw1	Dataset	Sympathetic and parasympathetic effects on subcellular cAMP responses in isolated ventricular myocytes	doi:10.17504/protocols.io.ba8hiht6	IsDocumentedBy	Protocol		"Preparation of Adult Rat Ventricular Myocytes for FRET Imaging Experiments v1. (2020). https://doi.org/10.17504/protocols.io.ba8hiht6
"	SPARC
159	10.26275/ek1m-xqw1	Dataset	Sympathetic and parasympathetic effects on subcellular cAMP responses in isolated ventricular myocytes	doi:10.3389/fphar.2018.00332	Describes	Originating Publication		"Agarwal, S. R., Gratwohl, J., Cozad, M., Yang, P.-C., Clancy, C. E., & Harvey, R. D. (2018). Compartmentalized cAMP Signaling Associated With Lipid Raft and Non-raft Membrane Domains in Adult Ventricular Myocytes. Frontiers in Pharmacology, 9. https://doi.org/10.3389/fphar.2018.00332
"	SPARC
